Наименование филиала ;Необходимый тип транспортного средства;Подана заявка;Выполнена заявка
ВПС Царицыно;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );06.11.2022;06.11.2022
Отдел МТО;Легковой административный транспорт;07.11.2022;07.11.2022
ВПС Зеленоград;Машина с носилками;07.11.2022;07.11.2022
ВПС Солнцево;Скорая помощь (Центр);07.11.2022;07.11.2022
ВПС Бутово;Машина с носилками;07.11.2022;07.11.2022
ВПС Царицыно;Машина с носилками;07.11.2022;07.11.2022
Аптека;Грузовой административный транспорт;07.11.2022;08.11.2022
ВПС ПМХ;Машина с носилками;07.11.2022;07.11.2022
ВПС Ростокино;Машина с носилками;07.11.2022;07.11.2022
ВПС Бутово;Машина с носилками;07.11.2022;07.11.2022
ВПС Савеловский;Машина с носилками;07.11.2022;07.11.2022
ВПС Ростокино;Машина с носилками;07.11.2022;07.11.2022
ВПС ПМХ;Машина с носилками;07.11.2022;07.11.2022
ВПС Савеловский;Машина с носилками;07.11.2022;07.11.2022
ВПС Некрасовка;Машина с носилками;07.11.2022;07.11.2022
ДСУ Коломенское;Машина с носилками;07.11.2022;07.11.2022
ДСУ Люблино;Машина с носилками;07.11.2022;08.11.2022
ВПС Некрасовка;Машина с носилками;07.11.2022;07.11.2022
Дегунино;Машина с носилками;07.11.2022;08.11.2022
ВПС Царицыно;Машина с носилками;07.11.2022;07.11.2022
Ростокино;Машина с носилками;07.11.2022;08.11.2022
ВПС Царицыно;Машина с носилками;07.11.2022;07.11.2022
Царицыно;Машина с носилками;07.11.2022;08.11.2022
ВПС Хорошёво;Машина с носилками;07.11.2022;07.11.2022
Медицинский архив;Легковой административный транспорт;07.11.2022;08.11.2022
Респираторный центр;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );07.11.2022;07.11.2022
ВПС Перово;Машина с носилками;07.11.2022;07.11.2022
Респ.центр;Скорая помощь (Центр);07.11.2022;11.11.2022
Ростокино;Машина с носилками;07.11.2022;10.11.2022
Дегунино;Машина с носилками;07.11.2022;10.11.2022
Дегунино;Машина с носилками;07.11.2022;10.11.2022
Ростокино;Машина с носилками;07.11.2022;10.11.2022
Аптека;Легковой административный транспорт;07.11.2022;09.11.2022
Отдел МТО;Легковой административный транспорт;08.11.2022;08.11.2022
ВПС Хорошёво;Машина с носилками;08.11.2022;08.11.2022
ВПС Люблино;Машина с носилками;08.11.2022;08.11.2022
ВПС ПМХ;Машина с носилками;08.11.2022;08.11.2022
ВПС Дегунино;Машина с носилками;08.11.2022;08.11.2022
ВПС Некрасовка;Машина с носилками;08.11.2022;08.11.2022
ВПС Хорошёво;Машина с носилками;08.11.2022;08.11.2022
ВПС Перово;Машина с носилками;08.11.2022;08.11.2022
ВПС Некрасовка;Машина с носилками;08.11.2022;08.11.2022
ВПС Дегунино;Машина с носилками;08.11.2022;08.11.2022
ВПС Савеловский;Машина с носилками;08.11.2022;08.11.2022
Администрация;Легковой административный транспорт;08.11.2022;09.11.2022
Администрация;Легковой административный транспорт;08.11.2022;09.11.2022
Администрация;Легковой административный транспорт;08.11.2022;10.11.2022
ДСУ Люблино;Машина с носилками;08.11.2022;10.11.2022
ВПС ПМХ;Машина с носилками;08.11.2022;08.11.2022
ДСУ Коломенское;Машина с носилками;08.11.2022;09.11.2022
ВПС Перово;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );08.11.2022;08.11.2022
Куркино;Скорая помощь (Центр);08.11.2022;09.11.2022
Царицыно;Машина с носилками;08.11.2022;09.11.2022
Лаборатория;Легковой административный транспорт;08.11.2022;09.11.2022
ВПС Ростокино;Машина с носилками;08.11.2022;08.11.2022
ВПС Ростокино;Машина с носилками;08.11.2022;08.11.2022
ДСУ Коломенское;Машина с носилками;08.11.2022;09.11.2022
Респ.центр;Легковой административный транспорт;08.11.2022;08.11.2022
Савеловский (2 ОПМПВ);Машина с носилками;08.11.2022;09.11.2022
Аптека;Грузовой административный транспорт;08.11.2022;09.11.2022
Куркино;Машина с носилками;08.11.2022;10.11.2022
Социальная служба;Легковой административный транспорт;08.11.2022;10.11.2022
ПМХ;Машина с носилками;08.11.2022;09.11.2022
ВПС Зеленоград;Машина с носилками;08.11.2022;09.11.2022
Координационный центр;Скорая помощь (Центр);09.11.2022;08.11.2022
Отдел МТО;Легковой административный транспорт;09.11.2022;09.11.2022
ВПС Некрасовка;Машина с носилками;09.11.2022;09.11.2022
ВПС Люблино;Машина с носилками;09.11.2022;09.11.2022
ВПС Царицыно;Машина с носилками;09.11.2022;09.11.2022
ВПС Савеловский;Машина с носилками;09.11.2022;09.11.2022
